Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 10.47      0.09     0.09    66228     0.00     0.00  nk_draw_list_fill_poly_convex
  9.30      0.17     0.08    14997     0.01     0.01  nk_draw_list_stroke_poly_line
  6.98      0.23     0.06                             nk_memcopy
  4.65      0.27     0.04  8624231     0.00     0.00  nk_vec2
  3.49      0.30     0.03    84010     0.00     0.00  nk_draw_list_path_arc_to_fast
  2.33      0.32     0.02  8322252     0.00     0.00  phys_debug_draw_aabb_func
  2.33      0.34     0.02                             nk_draw_vertex_element
  2.33      0.36     0.02                             nk_font_query_font_glyph
  2.33      0.38     0.02                             stbi__hdr_load
  1.16      0.39     0.01  2519837     0.00     0.00  nk_rgba_fv
  1.16      0.40     0.01  1361248     0.00     0.00  nk_font_find_glyph
  1.16      0.41     0.01    76230     0.00     0.00  nk_draw_list_path_rect_to
  1.16      0.42     0.01    46953     0.00     0.00  state_entity_update_global_model_dbg
  1.16      0.43     0.01      999     0.01     0.25  nk_convert
  1.16      0.44     0.01      999     0.01     0.01  renderer_update
  1.16      0.45     0.01        5     2.00     2.00  serialization_deserialize_vec3
  1.16      0.46     0.01                             __mingw_pformat
  1.16      0.47     0.01                             asset_io_serialize_texture
  1.16      0.48     0.01                             nk_command_buffer_push
  1.16      0.49     0.01                             nk_draw_list_push_rect_uv
  1.16      0.50     0.01                             nk_draw_vertex_color
  1.16      0.51     0.01                             nk_utf_decode_byte
  1.16      0.52     0.01                             pow
  1.16      0.53     0.01                             stbi__convert_format
  1.16      0.54     0.01                             stbi__pic_info
  1.16      0.55     0.01                             texture_load_pixels
  0.00      0.55     0.00 22599397     0.00     0.00  nk__draw_list_next
  0.00      0.55     0.00 13448672     0.00     0.00  stbi_hdr_to_ldr_scale
  0.00      0.55     0.00 12691904     0.00     0.00  nk_triangle_from_direction
  0.00      0.55     0.00  4194313     0.00     0.00  stbi_convert_iphone_png_to_rgb
  0.00      0.55     0.00  3145811     0.00     0.00  nk_buffer_init_fixed
  0.00      0.55     0.00  2957110     0.00     0.00  nk_color_hsv_bv
  0.00      0.55     0.00  2519838     0.00     0.00  nk_rgba_f
  0.00      0.55     0.00  1658347     0.00     0.00  nk_utf_decode
  0.00      0.55     0.00  1361251     0.00     0.00  stbtt_CompareUTF8toUTF16_bigendian
  0.00      0.55     0.00  1259390     0.00     0.00  nk_buffer_memory
  0.00      0.55     0.00  1015718     0.00     0.00  nk_buffer_total
  0.00      0.55     0.00   754762     0.00     0.00  serialization_serialize_vec3
  0.00      0.55     0.00   578664     0.00     0.00  terrain_edit_update
  0.00      0.55     0.00   571932     0.00     0.00  nk_draw_list_path_line_to
  0.00      0.55     0.00   467790     0.00     0.00  nk_font_korean_glyph_ranges
  0.00      0.55     0.00   421461     0.00     0.00  texture_free_handle
  0.00      0.55     0.00   378216     0.00     0.00  nk_color_f
  0.00      0.55     0.00   378216     0.00     0.00  nk_color_fv
  0.00      0.55     0.00   296991     0.00     0.00  nk_draw_list_stroke_curve
  0.00      0.55     0.00   291641     0.00     0.00  shader_set_int_handle_no_dbg
  0.00      0.55     0.00   240862     0.00     0.00  assetm_create_texture_dbg
  0.00      0.55     0.00   237986     0.00     0.00  nk__next
  0.00      0.55     0.00   236078     0.00     0.00  stbds_hmput_key
  0.00      0.55     0.00   205796     0.00     0.00  shader_set_vec2_f_dbg
  0.00      0.55     0.00   162448     0.00     0.00  nk_buffer_reset
